"Time","이븐"
"2012-12-01",10
"2013-01-01",5
"2013-02-01",7
"2013-03-01",8
"2013-04-01",14
"2013-05-01",11
"2013-06-01",16
"2013-07-01",9
"2013-08-01",11
"2013-09-01",11
"2013-10-01",12
"2013-11-01",9
"2013-12-01",7
"2014-01-01",10
"2014-02-01",8
"2014-03-01",8
"2014-04-01",9
"2014-05-01",12
"2014-06-01",11
"2014-07-01",8
"2014-08-01",11
"2014-09-01",9
"2014-10-01",9
"2014-11-01",11
"2014-12-01",8
"2015-01-01",11
"2015-02-01",11
"2015-03-01",13
"2015-04-01",16
"2015-05-01",11
"2015-06-01",12
"2015-07-01",8
"2015-08-01",7
"2015-09-01",12
"2015-10-01",8
"2015-11-01",11
"2015-12-01",8
"2016-01-01",7
"2016-02-01",9
"2016-03-01",10
"2016-04-01",10
"2016-05-01",8
"2016-06-01",10
"2016-07-01",10
"2016-08-01",10
"2016-09-01",8
"2016-10-01",10
"2016-11-01",14
"2016-12-01",12
"2017-01-01",8
"2017-02-01",17
"2017-03-01",15
"2017-04-01",12
"2017-05-01",15
"2017-06-01",11
"2017-07-01",12
"2017-08-01",11
"2017-09-01",12
"2017-10-01",20
"2017-11-01",15
"2017-12-01",14
"2018-01-01",12
"2018-02-01",10
"2018-03-01",15
"2018-04-01",12
"2018-05-01",15
"2018-06-01",14
"2018-07-01",12
"2018-08-01",13
"2018-09-01",12
"2018-10-01",16
"2018-11-01",11
"2018-12-01",12
"2019-01-01",11
"2019-02-01",12
"2019-03-01",15
"2019-04-01",21
"2019-05-01",17
"2019-06-01",15
"2019-07-01",15
"2019-08-01",13
"2019-09-01",15
"2019-10-01",18
"2019-11-01",18
"2019-12-01",22
"2020-01-01",18
"2020-02-01",15
"2020-03-01",13
"2020-04-01",15
"2020-05-01",16
"2020-06-01",20
"2020-07-01",15
"2020-08-01",19
"2020-09-01",14
"2020-10-01",17
"2020-11-01",15
"2020-12-01",16
"2021-01-01",15
"2021-02-01",15
"2021-03-01",14
"2021-04-01",14
"2021-05-01",15
"2021-06-01",16
"2021-07-01",17
"2021-08-01",16
"2021-09-01",17
"2021-10-01",15
"2021-11-01",17
"2021-12-01",14
"2022-01-01",17
"2022-02-01",21
"2022-03-01",17
"2022-04-01",19
"2022-05-01",20
"2022-06-01",20
"2022-07-01",19
"2022-08-01",16
"2022-09-01",24
"2022-10-01",21
"2022-11-01",19
"2022-12-01",20
"2023-01-01",22
"2023-02-01",19
"2023-03-01",18
"2023-04-01",20
"2023-05-01",16
"2023-06-01",16
"2023-07-01",14
"2023-08-01",17
"2023-09-01",27
"2023-10-01",25
"2023-11-01",21
"2023-12-01",17
"2024-01-01",21
"2024-02-01",23
"2024-03-01",20
"2024-04-01",19
"2024-05-01",20
"2024-06-01",28
"2024-07-01",23
"2024-08-01",20
"2024-09-01",37
"2024-10-01",100
"2024-11-01",46
"2024-12-01",34
"2025-01-01",31
"2025-02-01",33
"2025-03-01",26
"2025-04-01",22
"2025-05-01",24
"2025-06-01",25
"2025-07-01",29
"2025-08-01",31
"2025-09-01",29
"2025-10-01",31
"2025-11-01",30
"2025-12-01",30
"2026-01-01",31
"2026-02-01",27
"2026-03-01",23
"2026-04-01",22
"2026-05-01",22
